"","sciname","genus","species","family","order"
"4868","Pitohui nigrescens","Pitohui","nigrescens","Muscicapidae","Passeriformes"
"4869","Microeca flavovirescens","Microeca","flavovirescens","Muscicapidae","Passeriformes"
"4870","Monarcha axillaris","Monarcha","axillaris","Muscicapidae","Passeriformes"
"4871","Monticola cinclorhynchus","Monticola","cinclorhynchus","Muscicapidae","Passeriformes"
"4872","Stachyris capitalis","Stachyris","capitalis","Muscicapidae","Passeriformes"
"4873","Sericornis spilodera","Sericornis","spilodera","Muscicapidae","Passeriformes"
"4874","Turdus chrysolaus","Turdus","chrysolaus","Muscicapidae","Passeriformes"
"4875","Turdus rubrocanus","Turdus","rubrocanus","Muscicapidae","Passeriformes"
"4876","Yuhina occipitalis","Yuhina","occipitalis","Muscicapidae","Passeriformes"
"4877","Ptilorrhoa castanonota","Ptilorrhoa","castanonota","Muscicapidae","Passeriformes"
"4878","Rhipidura aureola","Rhipidura","aureola","Muscicapidae","Passeriformes"
"4879","Rhipidura brachyrhyncha","Rhipidura","brachyrhyncha","Muscicapidae","Passeriformes"
"4880","Rhipidura hyperythra","Rhipidura","hyperythra","Muscicapidae","Passeriformes"
"4881","Rhipidura threnothorax","Rhipidura","threnothorax","Muscicapidae","Passeriformes"
"4882","Seicercus xanthoschistos","Seicercus","xanthoschistos","Muscicapidae","Passeriformes"
"4883","Clytomyias insignis","Clytomyias","insignis","Muscicapidae","Passeriformes"
"4884","Culicicapa ceylonensis","Culicicapa","ceylonensis","Muscicapidae","Passeriformes"
"4885","Megalurus timoriensis","Megalurus","timoriensis","Muscicapidae","Passeriformes"
"4886","Abroscopus superciliaris","Abroscopus","superciliaris","Muscicapidae","Passeriformes"
"4887","Arses telescophthalmus","Arses","telescophthalmus","Muscicapidae","Passeriformes"
"4888","Ifrita kowaldi","Ifrita","kowaldi","Muscicapidae","Passeriformes"
"4889","Macronous striaticeps","Macronous","striaticeps","Muscicapidae","Passeriformes"
"4890","Malurus alboscapulatus","Malurus","alboscapulatus","Muscicapidae","Passeriformes"
"4891","Enicurus maculatus","Enicurus","maculatus","Muscicapidae","Passeriformes"
"4892","Ficedula superciliaris","Ficedula","superciliaris","Muscicapidae","Passeriformes"
"4893","Ficedula tricolor","Ficedula","tricolor","Muscicapidae","Passeriformes"
"4894","Aphelocoma coerulescens","Aphelocoma","coerulescens","Corvidae","Passeriformes"
"4895","Cracticus cassicus","Cracticus","cassicus","Cracticidae","Passeriformes"
"4896","Dicaeum bicolor","Dicaeum","bicolor","Dicaeidae","Passeriformes"
"4897","Dicaeum hypoleucum","Dicaeum","hypoleucum","Dicaeidae","Passeriformes"
"4898","Dicaeum ignipectus","Dicaeum","ignipectus","Dicaeidae","Passeriformes"
"4899","Dicaeum pectorale","Dicaeum","pectorale","Dicaeidae","Passeriformes"
"4900","Melanocharis striativentris","Melanocharis","striativentris","Dicaeidae","Passeriformes"
"4901","Paramythia montium","Paramythia","montium","Dicaeidae","Passeriformes"
"4902","Tangara xanthogastra","Tangara","xanthogastra","Emberizidae","Passeriformes"
"4903","Chlorochrysa calliparaea","Chlorochrysa","calliparaea","Emberizidae","Passeriformes"
"4904","Arremonops chloronotus","Arremonops","chloronotus","Emberizidae","Passeriformes"
"4905","Ammodramus maritimus","Ammodramus","maritimus","Emberizidae","Passeriformes"
"4906","Aimophila rufescens","Aimophila","rufescens","Emberizidae","Passeriformes"
"4907","Camarhynchus parvulus","Camarhynchus","parvulus","Emberizidae","Passeriformes"
"4908","Euphonia mesochrysa","Euphonia","mesochrysa","Emberizidae","Passeriformes"
"4909","Eurylaimus steerii","Eurylaimus","steerii","Eurylaimidae","Passeriformes"
"4910","Pycnopygius cinereus","Pycnopygius","cinereus","Meliphagidae","Passeriformes"
"4911","Pycnopygius ixoides","Pycnopygius","ixoides","Meliphagidae","Passeriformes"
"4912","Timeliopsis fulvigula","Timeliopsis","fulvigula","Meliphagidae","Passeriformes"
"4913","Oedistoma pygmaeum","Oedistoma","pygmaeum","Meliphagidae","Passeriformes"
"4914","Myzomela rosenbergii","Myzomela","rosenbergii","Meliphagidae","Passeriformes"
"4915","Melidectes rufocrissalis","Melidectes","rufocrissalis","Meliphagidae","Passeriformes"
"4916","Meliphaga flaviventer","Meliphaga","flaviventer","Meliphagidae","Passeriformes"
"4917","Meliphaga obscura","Meliphaga","obscura","Meliphagidae","Passeriformes"
"4918","Meliphaga polygramma","Meliphaga","polygramma","Meliphagidae","Passeriformes"
"4919","Meliphaga subfrenata","Meliphaga","subfrenata","Meliphagidae","Passeriformes"
"4920","Meliphaga mimikae","Meliphaga","mimikae","Meliphagidae","Passeriformes"
"4921","Meliphaga montana","Meliphaga","montana","Meliphagidae","Passeriformes"
"4922","Meliphaga orientalis","Meliphaga","orientalis","Meliphagidae","Passeriformes"
"4923","Lonchura leucogastra","Lonchura","leucogastra","Estrildidae","Passeriformes"
"4924","Lonchura spectabilis","Lonchura","spectabilis","Estrildidae","Passeriformes"
"4925","Hirundo tahitica","Hirundo","tahitica","Hirundinidae","Passeriformes"
"4926","Synallaxis albigularis","Synallaxis","albigularis","Furnariidae","Passeriformes"
"4927","Leucosticte nemoricola","Leucosticte","nemoricola","Fringillidae","Passeriformes"
