"","fullname","family","order","full_clements","IOC_seq","family_clements","order_clements"
"7681","Grus japonensis NA","Gruidae","Gruiformes","Grus japonensis NA",6172,"Gruidae","GRUIFORMES"
"7682","Nothoprocta cinerascens NA","Tinamidae","Tinamiformes","Nothoprocta cinerascens NA",169,"Tinamidae","TINAMIFORMES"
"7683","Chloephaga picta NA","Anatidae","Anseriformes","Chloephaga picta NA",331,"Anatidae","ANSERIFORMES"
"7684","Merganetta armata NA","Anatidae","Anseriformes","Merganetta armata NA",311,"Anatidae","ANSERIFORMES"
"7685","Merganetta armata leucogenis","Anatidae","Anseriformes","Merganetta armata leucogenis",313,"Anatidae","ANSERIFORMES"
"7686","Limicola falcinellus falcinellus","Scolopacidae","Charadriiformes","Calidris falcinellus falcinellus",6702,"Scolopacidae","CHARADRIIFORMES"
"7687","Charadrius alexandrinus dealbatus","Charadriidae","Charadriiformes","Charadrius dealbatus NA",6557,"Charadriidae","CHARADRIIFORMES"
"7688","Numida meleagris toruensis","Phasianidae","Galliformes","Numida meleagris meleagris",772,"Numididae","GALLIFORMES"
"7689","Bambusicola fytchii NA","Phasianidae","Galliformes","Bambusicola fytchii NA",1466,"Phasianidae","GALLIFORMES"
"7690","Lagopus lagopus lagopus","Phasianidae","Galliformes","Lagopus lagopus lagopus",1180,"Phasianidae","GALLIFORMES"
"7691","Accipiter gentilis NA","Accipitridae","Falconiformes","Accipiter gentilis NA",8582,"Accipitridae","ACCIPITRIFORMES"
"7692","Poicephalus senegalus senegalus","Psittacidae","Psittaciformes","Poicephalus senegalus senegalus",13085,"Psittacidae","PSITTACIFORMES"
"7693","Ciconia nigra NA","Ciconiidae","Ciconiiformes","Ciconia nigra NA",7640,"Ciconiidae","CICONIIFORMES"
"7694","Circus ranivorus NA","Accipitridae","Falconiformes","Circus ranivorus NA",8605,"Accipitridae","ACCIPITRIFORMES"
"7695","Nectarinia dussumieri NA","Nectariniidae","Passeriformes","Cinnyris dussumieri NA",32336,"Nectariniidae","PASSERIFORMES"
"7696","Anthreptes neglectus NA","Nectariniidae","Passeriformes","Anthreptes neglectus NA",31999,"Nectariniidae","PASSERIFORMES"
"7697","Serpophaga nigricans NA","Tyrannidae","Passeriformes","Serpophaga nigricans NA",17001,"Tyrannidae","PASSERIFORMES"
"7698","Saltator albicollis NA","Emberizidae","Passeriformes","Saltator albicollis NA",36564,"Thraupidae","PASSERIFORMES"
"7699","Aegithina viridissima NA","Irenidae","Passeriformes","Aegithina viridissima NA",20406,"Aegithinidae","PASSERIFORMES"
"7700","Urochroa bougueri bougueri","Trochilidae","Apodiformes","Urochroa bougueri NA",3176,"Trochilidae","APODIFORMES"
"7701","Amazilia edward margaritarum","Trochilidae","Apodiformes","Saucerottia edward margaritarum",3568,"Trochilidae","APODIFORMES"
"7702","Sterna striata NA","Laridae","Charadriiformes","Sterna striata NA",7135,"Laridae","CHARADRIIFORMES"
