"","sciname","subspecies","genus","species","family","order"
"54","Thripophaga wyatti","wyatti","Thripophaga","wyatti","Furnariidae","Passeriformes"
"55","Upucerthia dumetaria","dumetaria","Upucerthia","dumetaria","Furnariidae","Passeriformes"
"56","Margarornis brunnescens","brunneicauda","Margarornis","brunnescens","Furnariidae","Passeriformes"
"57","Margarornis rubiginosus","rubiginosus","Margarornis","rubiginosus","Furnariidae","Passeriformes"
"58","Margarornis squamiger","perlatus","Margarornis","squamiger","Furnariidae","Passeriformes"
"59","Automolus ochrolaemus","amusos","Automolus","ochrolaemus","Furnariidae","Passeriformes"
"60","Automolus rubiginosus","nigricauda","Automolus","rubiginosus","Furnariidae","Passeriformes"
"61","Automolus infuscatus","cervicalis","Automolus","infuscatus","Furnariidae","Passeriformes"
"62","Automolus leucophthalmus","lammi","Automolus","leucophthalmus","Furnariidae","Passeriformes"
"63","Carduelis pinus","pinus","Carduelis","pinus","Fringillidae","Passeriformes"
"64","Prionops plumata","plumata","Prionops","plumata","Laniidae","Passeriformes"
"65","Philydor rufosuperciliatus","acrita","Philydor","rufosuperciliatus","Furnariidae","Passeriformes"
"66","Anas falcata",NA,"Anas","falcata","Anatidae","Anseriformes"
"67","Euphonia xanthogaster","ssp","Euphonia","xanthogaster","Emberizidae","Passeriformes"
"68","Coryphospingus cucullatus","cucullatus","Coryphospingus","cucullatus","Emberizidae","Passeriformes"
"69","Coryphospingus pileatus","brevicaudus","Coryphospingus","pileatus","Emberizidae","Passeriformes"
"70","Hemispingus atropileus","atropileus","Hemispingus","atropileus","Emberizidae","Passeriformes"
"71","Hemispingus frontalis","frontalis","Hemispingus","frontalis","Emberizidae","Passeriformes"
"72","Hemispingus melanotis","melanotis","Hemispingus","melanotis","Emberizidae","Passeriformes"
"73","Hemispingus superciliaris","nigrifrons","Hemispingus","superciliaris","Emberizidae","Passeriformes"
"74","Coryphaspiza melanotis","melanotis","Coryphaspiza","melanotis","Emberizidae","Passeriformes"
"75","Eucometis penicillata","albicollis","Eucometis","penicillata","Emberizidae","Passeriformes"
"76","Cyanerpes caeruleus","caeruleus","Cyanerpes","caeruleus","Emberizidae","Passeriformes"
"77","Cyanerpes cyaneus","eximius","Cyanerpes","cyaneus","Emberizidae","Passeriformes"
"78","Crinifer piscator","ssp","Crinifer","piscator","Musophagidae","Cuculiformes"
"79","Spermophaga ruficapilla","ruficapilla","Spermophaga","ruficapilla","Estrildidae","Passeriformes"
"80","Pyrenestes ostrinus","ostrinus","Pyrenestes","ostrinus","Estrildidae","Passeriformes"
"81","Pyrenestes sanguineus","sanguineus","Pyrenestes","sanguineus","Estrildidae","Passeriformes"
"82","Uraeginthus granatina","ssp","Uraeginthus","granatina","Estrildidae","Passeriformes"
"83","Uraeginthus bengalus","brunneigularis","Uraeginthus","bengalus","Estrildidae","Passeriformes"
"84","Uraeginthus angolensis","cyanopleurus","Uraeginthus","angolensis","Estrildidae","Passeriformes"
"85","Uraeginthus ianthinogaster","ianthinogaster","Uraeginthus","ianthinogaster","Estrildidae","Passeriformes"
"86","Tyranniscus vilissimus","improbus","Tyranniscus","vilissimus","Tyrannidae","Passeriformes"
"87","Tyranniscus viridiflavus","albigularis","Tyranniscus","viridiflavus","Tyrannidae","Passeriformes"
"88","Tolmomyias assimilis","flavotectus","Tolmomyias","assimilis","Tyrannidae","Passeriformes"
"89","Tolmomyias flaviventris","collingwoodi","Tolmomyias","flaviventris","Tyrannidae","Passeriformes"
"90","Tolmomyias sulphurescens","cinereiceps","Tolmomyias","sulphurescens","Tyrannidae","Passeriformes"
"91","Tolmomyias poliocephalus","sclateri","Tolmomyias","poliocephalus","Tyrannidae","Passeriformes"
"92","Terenotriccus erythrurus","amazonas","Terenotriccus","erythrurus","Tyrannidae","Passeriformes"
"93","Tachuris rubrigastra","rubrigastra","Tachuris","rubrigastra","Tyrannidae","Passeriformes"
"94","Suiriri suiriri","suiriri","Suiriri","suiriri","Tyrannidae","Passeriformes"
"95","Sublegatus arenarum","arenarum","Sublegatus","arenarum","Tyrannidae","Passeriformes"
"96","Sublegatus modestus","modestus","Sublegatus","modestus","Tyrannidae","Passeriformes"
"97","Stigmatura budytoides","bahiae","Stigmatura","budytoides","Tyrannidae","Passeriformes"
"98","Sirystes sibilator","atimastus","Sirystes","sibilator","Tyrannidae","Passeriformes"
"99","Sayornis nigricans","amnicola","Sayornis","nigricans","Tyrannidae","Passeriformes"
"100","Sayornis saya","ssp","Sayornis","saya","Tyrannidae","Passeriformes"
"101","Rhytipterna holerythra","holerythra","Rhytipterna","holerythra","Tyrannidae","Passeriformes"
"102","Rhytipterna simplex","frederici","Rhytipterna","simplex","Tyrannidae","Passeriformes"
"103","Rhynchocyclus brevirostris","brevirostris","Rhynchocyclus","brevirostris","Tyrannidae","Passeriformes"
"104","Rhynchocyclus olivaceus","guianensis","Rhynchocyclus","olivaceus","Tyrannidae","Passeriformes"
"105","Ramphotrigon megacephala","megacephala","Ramphotrigon","megacephala","Tyrannidae","Passeriformes"
"106","Cnemotriccus fuscatus","bimaculatus","Cnemotriccus","fuscatus","Tyrannidae","Passeriformes"
"107","Empidonomus aurantioatrocristatus","minor","Empidonomus","aurantioatrocristatus","Tyrannidae","Passeriformes"
"108","Empidonomus varius","varius","Empidonomus","varius","Tyrannidae","Passeriformes"
"109","Empidonax difficilis","insulicola","Empidonax","difficilis","Tyrannidae","Passeriformes"
"110","Charmosyna pulchella",NA,"Charmosyna","pulchella","Loriidae","Psittaciformes"
"111","Junco hyemalis","pinosus","Junco","hyemalis","Emberizidae","Passeriformes"
"112","Empidonax traillii","traillii","Empidonax","traillii","Tyrannidae","Passeriformes"
"113","Empidonax flavescens","flavescens","Empidonax","flavescens","Tyrannidae","Passeriformes"
"114","Empidonax fulvifrons","pygmaeus","Empidonax","fulvifrons","Tyrannidae","Passeriformes"
"115","Myiopagis leucospodia","cinereifrons","Myiopagis","leucospodia","Tyrannidae","Passeriformes"
"116","Myiopagis caniceps","ssp","Myiopagis","caniceps","Tyrannidae","Passeriformes"
"117","Myiopagis gaimardii","bogotensis","Myiopagis","gaimardii","Tyrannidae","Passeriformes"
"118","Myiopagis viridicata","placens","Myiopagis","viridicata","Tyrannidae","Passeriformes"
"119","Conopias parva","albovittatus","Conopias","parva","Tyrannidae","Passeriformes"
"120","Conopias trivirgata","berlepschi","Conopias","trivirgata","Tyrannidae","Passeriformes"
"121","Fluvicola pica","albiventer","Fluvicola","pica","Tyrannidae","Passeriformes"
"122","Fluvicola nengeta","atripennis","Fluvicola","nengeta","Tyrannidae","Passeriformes"
"123","Elaenia gaimardii","gaimardii","Elaenia","gaimardii","Tyrannidae","Passeriformes"
"124","Elaenia sp","ssp","Elaenia","sp","Tyrannidae","Passeriformes"
"125","Elaenia albiceps","chilensis","Elaenia","albiceps","Tyrannidae","Passeriformes"
"126","Elaenia chiriquensis","albivertex","Elaenia","chiriquensis","Tyrannidae","Passeriformes"
"127","Elaenia flavogaster","silvicultrix","Elaenia","flavogaster","Tyrannidae","Passeriformes"
"128","Elaenia frantzii","frantzii","Elaenia","frantzii","Tyrannidae","Passeriformes"
"129","Elaenia martinica","martinica","Elaenia","martinica","Tyrannidae","Passeriformes"
"130","Elaenia cristata","cristata","Elaenia","cristata","Tyrannidae","Passeriformes"
"131","Elaenia obscura","pudica","Elaenia","obscura","Tyrannidae","Passeriformes"
"132","Capsiempis flaveola","flaveola","Capsiempis","flaveola","Tyrannidae","Passeriformes"
"133","Camptostoma imberbe","ssp","Camptostoma","imberbe","Tyrannidae","Passeriformes"
"134","Camptostoma obsoletum","cinerascens","Camptostoma","obsoletum","Tyrannidae","Passeriformes"
"135","Attila spadiceus","spadiceus","Attila","spadiceus","Tyrannidae","Passeriformes"
"136","Pica pica","ssp","Pica","pica","Corvidae","Passeriformes"
"137","Carduelis magellanica","ssp","Carduelis","magellanica","Fringillidae","Passeriformes"
"138","Basilornis celebensis",NA,"Basilornis","celebensis","Sturnidae","Passeriformes"
"139","Saltator coerulescens","mutus","Saltator","coerulescens","Emberizidae","Passeriformes"
"140","Saltator maximus","maximus","Saltator","maximus","Emberizidae","Passeriformes"
"141","Saltator similis","ochraceiventris","Saltator","similis","Emberizidae","Passeriformes"
"142","Ramphocelus bresilius","bresilius","Ramphocelus","bresilius","Emberizidae","Passeriformes"
"143","Ramphocelus carbo","unicolor","Ramphocelus","carbo","Emberizidae","Passeriformes"
"144","Ramphocelus dimidiatus","dimidiatus","Ramphocelus","dimidiatus","Emberizidae","Passeriformes"
"145","Ramphocelus flammigerus","flammigerus","Ramphocelus","flammigerus","Emberizidae","Passeriformes"
"146","Ramphocelus passerinii","costaricensis","Ramphocelus","passerinii","Emberizidae","Passeriformes"
"147","Ramphocelus sanguinolentus","ssp","Ramphocelus","sanguinolentus","Emberizidae","Passeriformes"
"148","Poospiza cinerea","melanoleuca","Poospiza","cinerea","Emberizidae","Passeriformes"
"149","Poospiza lateralis","cabanisi","Poospiza","lateralis","Emberizidae","Passeriformes"
"150","Poospiza torquata","pectoralis","Poospiza","torquata","Emberizidae","Passeriformes"
"151","Pooecetes gramineus","confinis","Pooecetes","gramineus","Emberizidae","Passeriformes"
"152","Tachyphonus cristatus","ssp","Tachyphonus","cristatus","Emberizidae","Passeriformes"
"153","Serinus burtoni","kilimensis","Serinus","burtoni","Fringillidae","Passeriformes"
"154","Serinus capistratus","brittoni","Serinus","capistratus","Fringillidae","Passeriformes"
"155","Serinus citrinella","citrinella","Serinus","citrinella","Fringillidae","Passeriformes"
"156","Serinus citrinelloides","hypostictus","Serinus","citrinelloides","Fringillidae","Passeriformes"
"157","Serinus flaviventris","dorsostriatus","Serinus","flaviventris","Fringillidae","Passeriformes"
"158","Serinus frontalis","frontalis","Serinus","frontalis","Fringillidae","Passeriformes"
"159","Serinus gularis","striatipectus","Serinus","gularis","Fringillidae","Passeriformes"
"160","Serinus leucopygius","ssp","Serinus","leucopygius","Fringillidae","Passeriformes"
"161","Serinus striolatus","striolatus","Serinus","striolatus","Fringillidae","Passeriformes"
"162","Serinus mozambicus","ssp","Serinus","mozambicus","Fringillidae","Passeriformes"
"163","Acanthis flammea","flammea","Acanthis","flammea","Fringillidae","Passeriformes"
"164","Acanthis cannabina","cannabina","Acanthis","cannabina","Fringillidae","Passeriformes"
"165","Acanthis flavirostris","flavirostris","Acanthis","flavirostris","Fringillidae","Passeriformes"
"166","Acanthis hornemanni","exilipes","Acanthis","hornemanni","Fringillidae","Passeriformes"
"167","Carduelis chloris","chloris","Carduelis","chloris","Fringillidae","Passeriformes"
"168","Progne subis","ssp","Progne","subis","Hirundinidae","Passeriformes"
"169","Progne chalybea","chalybea","Progne","chalybea","Hirundinidae","Passeriformes"
"170","Progne tapera","fusca","Progne","tapera","Hirundinidae","Passeriformes"
"171","Progne modesta","modesta","Progne","modesta","Hirundinidae","Passeriformes"
"172","Neochelidon tibialis","griseiventris","Neochelidon","tibialis","Hirundinidae","Passeriformes"
"173","Hirundo rustica","erythrogaster","Hirundo","rustica","Hirundinidae","Passeriformes"
"174","Ptilinopus ornatus","ssp","Ptilinopus","ornatus","Columbidae","Columbiformes"
"175","Lonchura cucullata","cucullata","Lonchura","cucullata","Estrildidae","Passeriformes"
"176","Lonchura sp","ssp","Lonchura","sp","Estrildidae","Passeriformes"
"177","Lonchura punctulata","cabanisi","Lonchura","punctulata","Estrildidae","Passeriformes"
"178","Lonchura malacca","jagori","Lonchura","malacca","Estrildidae","Passeriformes"
"179","Lonchura malabarica","cantans","Lonchura","malabarica","Estrildidae","Passeriformes"
"180","Lonchura bicolor","stigmatophora","Lonchura","bicolor","Estrildidae","Passeriformes"
"181","Lonchura caniceps","ssp","Lonchura","caniceps","Estrildidae","Passeriformes"
"182","Lonchura castaneothorax","ssp","Lonchura","castaneothorax","Estrildidae","Passeriformes"
"183","Lonchura striata","subsquamicollis","Lonchura","striata","Estrildidae","Passeriformes"
"184","Poephila bichenovii","bichenovii","Poephila","bichenovii","Estrildidae","Passeriformes"
"185","Poephila guttata","ssp","Poephila","guttata","Estrildidae","Passeriformes"
"186","Poephila acuticauda","ssp","Poephila","acuticauda","Estrildidae","Passeriformes"
"187","Poephila cincta","cincta","Poephila","cincta","Estrildidae","Passeriformes"
"188","Icterus gularis","gigas","Icterus","gularis","Icteridae","Passeriformes"
"189","Icterus icterus","icterus","Icterus","icterus","Icteridae","Passeriformes"
"190","Icterus mesomelas","salvinii","Icterus","mesomelas","Icteridae","Passeriformes"
"191","Icterus pectoralis","espinachi","Icterus","pectoralis","Icteridae","Passeriformes"
"192","Icterus wagleri","castaneopectus","Icterus","wagleri","Icteridae","Passeriformes"
"193","Icterus cayanensis","chrysocephalus","Icterus","cayanensis","Icteridae","Passeriformes"
"194","Icterus nigrogularis","nigrogularis","Icterus","nigrogularis","Icteridae","Passeriformes"
"195","Macronyx capensis","stabilior","Macronyx","capensis","Motacillidae","Passeriformes"
"196","Motacilla alba","leucopsis","Motacilla","alba","Motacillidae","Passeriformes"
"197","Motacilla cinerea","cinerea","Motacilla","cinerea","Motacillidae","Passeriformes"
"198","Motacilla aguimp","vidua","Motacilla","aguimp","Motacillidae","Passeriformes"
"199","Motacilla capensis","wellsi","Motacilla","capensis","Motacillidae","Passeriformes"
"200","Motacilla clara","chapini","Motacilla","clara","Motacillidae","Passeriformes"
"201","Motacilla flava","flava","Motacilla","flava","Motacillidae","Passeriformes"
"202","Cossypha niveicapilla",NA,"Cossypha","niveicapilla","Muscicapidae","Passeriformes"
"203","Anthus rubescens","ssp","Anthus","rubescens","Motacillidae","Passeriformes"
"204","Calidris mauri",NA,"Calidris","mauri","Scolopacidae","Charadriiformes"
"205","Estrilda astrild","massaica","Estrilda","astrild","Estrildidae","Passeriformes"
"206","Estrilda melpoda","ssp","Estrilda","melpoda","Estrildidae","Passeriformes"
"207","Estrilda atricapilla","graueri","Estrilda","atricapilla","Estrildidae","Passeriformes"
"208","Estrilda charmosyna","charmosyna","Estrilda","charmosyna","Estrildidae","Passeriformes"
"209","Estrilda nonnula","ssp","Estrilda","nonnula","Estrildidae","Passeriformes"
"210","Estrilda paludicola","roseicrissa","Estrilda","paludicola","Estrildidae","Passeriformes"
"211","Estrilda perreini","poliogastra","Estrilda","perreini","Estrildidae","Passeriformes"
"212","Estrilda rhodopyga","centralis","Estrilda","rhodopyga","Estrildidae","Passeriformes"
"213","Euschistospiza cinereovinacea","graueri","Euschistospiza","cinereovinacea","Estrildidae","Passeriformes"
"214","Hypargos niveoguttatus","macrospilotus","Hypargos","niveoguttatus","Estrildidae","Passeriformes"
"215","Amandava amandava","ssp","Amandava","amandava","Estrildidae","Passeriformes"
"216","Amandava subflava","ssp","Amandava","subflava","Estrildidae","Passeriformes"
"217","Aegithina tiphia","humei","Aegithina","tiphia","Irenidae","Passeriformes"
"218","Chloropsis hardwickei","ssp","Chloropsis","hardwickei","Irenidae","Passeriformes"
"219","Chloropsis aurifrons","aurifrons","Chloropsis","aurifrons","Irenidae","Passeriformes"
"220","Irena cyanogaster","cyanogaster","Irena","cyanogaster","Irenidae","Passeriformes"
"221","Irena puella","ssp","Irena","puella","Irenidae","Passeriformes"
"222","Corythopis torquata","anthoides","Corythopis","torquata","Conopophagidae","Passeriformes"
"223","Conopophaga aurita","snethlageae","Conopophaga","aurita","Conopophagidae","Passeriformes"
"224","Conopophaga lineata","lineata","Conopophaga","lineata","Conopophagidae","Passeriformes"
"225","Tachycineta thalassina","ssp","Tachycineta","thalassina","Hirundinidae","Passeriformes"
"226","Melospiza melodia","maxillaris","Melospiza","melodia","Emberizidae","Passeriformes"
"227","Phoenicopterus ruber",NA,"Phoenicopterus","ruber","Phoenicopteridae","Ciconiiformes"
"228","Passerella iliaca","unalaschensis","Passerella","iliaca","Emberizidae","Passeriformes"
"229","Balearica pavonina",NA,"Balearica","pavonina","Gruidae","Gruiformes"
"230","Calyptomena viridis","continentis","Calyptomena","viridis","Eurylaimidae","Passeriformes"
"231","Sporophila bouvreuil","bouvreuil","Sporophila","bouvreuil","Emberizidae","Passeriformes"
"232","Sporophila caerulescens","caerulescens","Sporophila","caerulescens","Emberizidae","Passeriformes"
"233","Sporophila intermedia","ssp","Sporophila","intermedia","Emberizidae","Passeriformes"
"234","Pheucticus melanocephalus","maculatus","Pheucticus","melanocephalus","Emberizidae","Passeriformes"
"235","Passerina brissonii","argentina","Passerina","brissonii","Emberizidae","Passeriformes"
"236","Passerina cyanoides","concreta","Passerina","cyanoides","Emberizidae","Passeriformes"
"237","Passerina leclancherii","ssp","Passerina","leclancherii","Emberizidae","Passeriformes"
"238","Passerina parellina","ssp","Passerina","parellina","Emberizidae","Passeriformes"
"239","Trugon terrestris","ssp","Trugon","terrestris","Columbidae","Columbiformes"
"240","Passerina caerulea","ssp","Passerina","caerulea","Emberizidae","Passeriformes"
"241","Passerina ciris","ciris","Passerina","ciris","Emberizidae","Passeriformes"
"242","Passerina versicolor","dickeyae","Passerina","versicolor","Emberizidae","Passeriformes"
"243","Melozone leucotis","leucotis","Melozone","leucotis","Emberizidae","Passeriformes"
"244","Paroaria capitata","ssp","Paroaria","capitata","Emberizidae","Passeriformes"
"245","Paroaria gularis","cervicalis","Paroaria","gularis","Emberizidae","Passeriformes"
"246","Oryzoborus angolensis","torridus","Oryzoborus","angolensis","Emberizidae","Passeriformes"
"247","Oryzoborus crassirostris","occidentalis","Oryzoborus","crassirostris","Emberizidae","Passeriformes"
"248","Nemosia pileata","caerulea","Nemosia","pileata","Emberizidae","Passeriformes"
"249","Mitrospingus cassinii","cassini","Mitrospingus","cassinii","Emberizidae","Passeriformes"
"250","Piranga bidentata","sanguinolenta","Piranga","bidentata","Emberizidae","Passeriformes"
"251","Piranga leucoptera","latifasciata","Piranga","leucoptera","Emberizidae","Passeriformes"
"252","Piranga flava","dextra","Piranga","flava","Emberizidae","Passeriformes"
"253","Piranga rubra","cooperi","Piranga","rubra","Emberizidae","Passeriformes"
"254","Melospiza georgiana","ssp","Melospiza","georgiana","Emberizidae","Passeriformes"
"255","Melospiza lincolnii","alticola","Melospiza","lincolnii","Emberizidae","Passeriformes"
"256","Goura cristata","minor","Goura","cristata","Columbidae","Columbiformes"
