"","fullname","sciname","subspecies","genus","species","family","order"
"11144","Toxostoma longirostre sennetti","Toxostoma longirostre","sennetti","Toxostoma","longirostre","Mimidae","Passeriformes"
"11145","Aegithina tiphia tiphia","Aegithina tiphia","tiphia","Aegithina","tiphia","Irenidae","Passeriformes"
"11146","Irena puella puella","Irena puella","puella","Irena","puella","Irenidae","Passeriformes"
"11147","Philydor subulatus subulatus","Philydor subulatus","subulatus","Philydor","subulatus","Furnariidae","Passeriformes"
"11148","Loxia curvirostra himalayensis","Loxia curvirostra","himalayensis","Loxia","curvirostra","Fringillidae","Passeriformes"
"11149","Coccothraustes carnipes carnipes","Coccothraustes carnipes","carnipes","Coccothraustes","carnipes","Fringillidae","Passeriformes"
"11150","Carpodacus nipalensis nipalensis","Carpodacus nipalensis","nipalensis","Carpodacus","nipalensis","Fringillidae","Passeriformes"
"11151","Laniarius fulleborni usambaricus","Laniarius fulleborni","usambaricus","Laniarius","fulleborni","Laniidae","Passeriformes"
"11152","Notharchus tectus subtectus","Notharchus tectus","subtectus","Notharchus","tectus","Bucconidae","Piciformes"
"11153","Malacoptila panamensis poliopsis","Malacoptila panamensis","poliopsis","Malacoptila","panamensis","Bucconidae","Piciformes"
"11154","Hypnelus bicinctus bicincta","Hypnelus bicinctus","bicincta","Hypnelus","bicinctus","Bucconidae","Piciformes"
"11155","Megalaima franklinii franklinii","Megalaima franklinii","franklinii","Megalaima","franklinii","Capitonidae","Piciformes"
"11156","Brachygalba salmoni salmoni","Brachygalba salmoni","salmoni","Brachygalba","salmoni","Galbulidae","Piciformes"
"11157","Galbula tombacea tombacea","Galbula tombacea","tombacea","Galbula","tombacea","Galbulidae","Piciformes"
