"","fullname","sciname","subspecies","genus","species","family","order"
"7366","Elanus leucurus majusculus","Elanus leucurus","majusculus","Elanus","leucurus","Accipitridae","Falconiformes"
"7367","Elanus leucurus ssp","Elanus leucurus","ssp","Elanus","leucurus","Accipitridae","Falconiformes"
"7368","Haliaeetus leucocephalus alascanus","Haliaeetus leucocephalus","alascanus","Haliaeetus","leucocephalus","Accipitridae","Falconiformes"
"7369","Haliaeetus leucocephalus ssp","Haliaeetus leucocephalus","ssp","Haliaeetus","leucocephalus","Accipitridae","Falconiformes"
"7370","Geranospiza caerulescens nigra","Geranospiza caerulescens","nigra","Geranospiza","caerulescens","Accipitridae","Falconiformes"
"7371","Geranospiza caerulescens gracilis","Geranospiza caerulescens","gracilis","Geranospiza","caerulescens","Accipitridae","Falconiformes"
"7372","Geranoaetus melanoleucus australis","Geranoaetus melanoleucus","australis","Geranoaetus","melanoleucus","Accipitridae","Falconiformes"
"7373","Gampsonyx swainsonii swainsonii","Gampsonyx swainsonii","swainsonii","Gampsonyx","swainsonii","Accipitridae","Falconiformes"
"7374","Chamaepetes goudotii goudotii","Chamaepetes goudotii","goudotii","Chamaepetes","goudotii","Cracidae","Galliformes"
"7375","Crax rubra rubra","Crax rubra","rubra","Crax","rubra","Cracidae","Galliformes"
"7376","Crax rubra ssp","Crax rubra","ssp","Crax","rubra","Cracidae","Galliformes"
"7377","Crax mitu ssp","Crax mitu","ssp","Crax","mitu","Cracidae","Galliformes"
"7378","Crax mitu tiberosus","Crax mitu","tiberosus","Crax","mitu","Cracidae","Galliformes"
"7379","Crax mitu tuberosa","Crax mitu","tuberosa","Crax","mitu","Cracidae","Galliformes"
"7380","Crax fasciolata fasciolata","Crax fasciolata","fasciolata","Crax","fasciolata","Cracidae","Galliformes"
"7381","Penelope purpurascens aequatorialis","Penelope purpurascens","aequatorialis","Penelope","purpurascens","Cracidae","Galliformes"
"7382","Penelope purpurascens ssp","Penelope purpurascens","ssp","Penelope","purpurascens","Cracidae","Galliformes"
"7383","Penelope marail marail","Penelope marail","marail","Penelope","marail","Cracidae","Galliformes"
"7384","Penelope montagnii montagnii","Penelope montagnii","montagnii","Penelope","montagnii","Cracidae","Galliformes"
"7385","Penelope obscura bronzina","Penelope obscura","bronzina","Penelope","obscura","Cracidae","Galliformes"
"7386","Penelope superciliaris jacupemba","Penelope superciliaris","jacupemba","Penelope","superciliaris","Cracidae","Galliformes"
"7387","Penelope superciliaris major","Penelope superciliaris","major","Penelope","superciliaris","Cracidae","Galliformes"
"7388","Aburria pipile ssp","Aburria pipile","ssp","Aburria","pipile","Cracidae","Galliformes"
"7389","Ortalis poliocephala lajuelae","Ortalis poliocephala","lajuelae","Ortalis","poliocephala","Cracidae","Galliformes"
"7390","Ortalis poliocephala wagleri","Ortalis poliocephala","wagleri","Ortalis","poliocephala","Cracidae","Galliformes"
"7391","Ortalis ruficauda ruficauda","Ortalis ruficauda","ruficauda","Ortalis","ruficauda","Cracidae","Galliformes"
"7392","Ortalis vetula vetula","Ortalis vetula","vetula","Ortalis","vetula","Cracidae","Galliformes"
"7393","Ortalis canicollis canicollis","Ortalis canicollis","canicollis","Ortalis","canicollis","Cracidae","Galliformes"
"7394","Ortalis motmot superciliaris","Ortalis motmot","superciliaris","Ortalis","motmot","Cracidae","Galliformes"
"7395","Ortalis motmot columbiana","Ortalis motmot","columbiana","Ortalis","motmot","Cracidae","Galliformes"
"7396","Ortalis motmot guttata","Ortalis motmot","guttata","Ortalis","motmot","Cracidae","Galliformes"
"7397","Ortalis motmot motmot","Ortalis motmot","motmot","Ortalis","motmot","Cracidae","Galliformes"
"7398","Alectura lathami lathami","Alectura lathami","lathami","Alectura","lathami","Megapodiidae","Galliformes"
"7399","Alectura lathami ssp","Alectura lathami","ssp","Alectura","lathami","Megapodiidae","Galliformes"
"7400","Megapodius freycinet eremita","Megapodius freycinet","eremita","Megapodius","freycinet","Megapodiidae","Galliformes"
"7401","Tympanuchus cupido pallidicinctus","Tympanuchus cupido","pallidicinctus","Tympanuchus","cupido","Phasianidae","Galliformes"
"7402","Tympanuchus cupido pinnatus","Tympanuchus cupido","pinnatus","Tympanuchus","cupido","Phasianidae","Galliformes"
"7403","Tympanuchus cupido ssp","Tympanuchus cupido","ssp","Tympanuchus","cupido","Phasianidae","Galliformes"
"7404","Tympanuchus phasianellus campestris","Tympanuchus phasianellus","campestris","Tympanuchus","phasianellus","Phasianidae","Galliformes"
"7405","Guttera edouardi barbata","Guttera edouardi","barbata","Guttera","edouardi","Phasianidae","Galliformes"
"7406","Guttera edouardi sethsmithi","Guttera edouardi","sethsmithi","Guttera","edouardi","Phasianidae","Galliformes"
"7407","Guttera edouardi ssp","Guttera edouardi","ssp","Guttera","edouardi","Phasianidae","Galliformes"
"7408","Centrocercus urophasianus urophasianus","Centrocercus urophasianus","urophasianus","Centrocercus","urophasianus","Phasianidae","Galliformes"
"7409","Tetrao tetrix ssp","Tetrao tetrix","ssp","Tetrao","tetrix","Phasianidae","Galliformes"
"7410","Tetrao tetrix tetrix","Tetrao tetrix","tetrix","Tetrao","tetrix","Phasianidae","Galliformes"
"7411","Tetrao urogallus ssp","Tetrao urogallus","ssp","Tetrao","urogallus","Phasianidae","Galliformes"
"7412","Tetrao urogallus major","Tetrao urogallus","major","Tetrao","urogallus","Phasianidae","Galliformes"
"7413","Arborophila javanica ssp","Arborophila javanica","ssp","Arborophila","javanica","Phasianidae","Galliformes"
"7414","Arborophila rufogularis euroa","Arborophila rufogularis","euroa","Arborophila","rufogularis","Phasianidae","Galliformes"
"7415","Arborophila torqueola griseata","Arborophila torqueola","griseata","Arborophila","torqueola","Phasianidae","Galliformes"
"7416","Colinus cristatus mocquerysi","Colinus cristatus","mocquerysi","Colinus","cristatus","Phasianidae","Galliformes"
"7417","Colinus cristatus ssp","Colinus cristatus","ssp","Colinus","cristatus","Phasianidae","Galliformes"
"7418","Colinus cristatus parvicristatus","Colinus cristatus","parvicristatus","Colinus","cristatus","Phasianidae","Galliformes"
"7419","Colinus cristatus leucotis","Colinus cristatus","leucotis","Colinus","cristatus","Phasianidae","Galliformes"
"7420","Colaptes auratus ssp","Colaptes auratus","ssp","Colaptes","auratus","Picidae","Piciformes"
"7421","Colinus cristatus badius","Colinus cristatus","badius","Colinus","cristatus","Phasianidae","Galliformes"
"7422","Colinus cristatus sonnini","Colinus cristatus","sonnini","Colinus","cristatus","Phasianidae","Galliformes"
"7423","Colinus leucopogon dickeyi","Colinus leucopogon","dickeyi","Colinus","leucopogon","Phasianidae","Galliformes"
"7424","Colinus leucopogon incanus","Colinus leucopogon","incanus","Colinus","leucopogon","Phasianidae","Galliformes"
"7425","Colinus nigrogularis ssp","Colinus nigrogularis","ssp","Colinus","nigrogularis","Phasianidae","Galliformes"
"7426","Colinus virginianus texanus","Colinus virginianus","texanus","Colinus","virginianus","Phasianidae","Galliformes"
"7427","Colinus virginianus ssp","Colinus virginianus","ssp","Colinus","virginianus","Phasianidae","Galliformes"
"7428","Colinus virginianus ridgwayi","Colinus virginianus","ridgwayi","Colinus","virginianus","Phasianidae","Galliformes"
"7429","Colinus virginianus virginianus","Colinus virginianus","virginianus","Colinus","virginianus","Phasianidae","Galliformes"
"7430","Colinus virginianus pectoralis","Colinus virginianus","pectoralis","Colinus","virginianus","Phasianidae","Galliformes"
"7431","Colinus virginianus floridanus","Colinus virginianus","floridanus","Colinus","virginianus","Phasianidae","Galliformes"
"7432","Gallus gallus (silky chicken)","Gallus gallus","(silky chicken)","Gallus","gallus","Phasianidae","Galliformes"
"7433","Gallus gallus (domestic chicken)","Gallus gallus","(domestic chicken)","Gallus","gallus","Phasianidae","Galliformes"
"7434","Gallus gallus murghi","Gallus gallus","murghi","Gallus","gallus","Phasianidae","Galliformes"
"7435","Argusianus argus argus","Argusianus argus","argus","Argusianus","argus","Phasianidae","Galliformes"
"7436","Bambusicola thoracica ssp","Bambusicola thoracica","ssp","Bambusicola","thoracica","Phasianidae","Galliformes"
"7437","Bambusicola thoracica thoracica","Bambusicola thoracica","thoracica","Bambusicola","thoracica","Phasianidae","Galliformes"
"7438","Bambusicola fytchii fytchii","Bambusicola fytchii","fytchii","Bambusicola","fytchii","Phasianidae","Galliformes"
"7439","Bonasa bonasia rupestris","Bonasa bonasia","rupestris","Bonasa","bonasia","Phasianidae","Galliformes"
"7440","Bonasa bonasia ssp","Bonasa bonasia","ssp","Bonasa","bonasia","Phasianidae","Galliformes"
"7441","Bonasa umbellus togata","Bonasa umbellus","togata","Bonasa","umbellus","Phasianidae","Galliformes"
"7442","Bonasa umbellus yukonensis","Bonasa umbellus","yukonensis","Bonasa","umbellus","Phasianidae","Galliformes"
"7443","Bonasa umbellus umbelloides","Bonasa umbellus","umbelloides","Bonasa","umbellus","Phasianidae","Galliformes"
"7444","Bonasa umbellus ssp","Bonasa umbellus","ssp","Bonasa","umbellus","Phasianidae","Galliformes"
"7445","Bonasa umbellus sabini","Bonasa umbellus","sabini","Bonasa","umbellus","Phasianidae","Galliformes"
"7446","Bonasa umbellus umbellus","Bonasa umbellus","umbellus","Bonasa","umbellus","Phasianidae","Galliformes"
"7447","Callipepla douglasii bensoni","Callipepla douglasii","bensoni","Callipepla","douglasii","Phasianidae","Galliformes"
"7448","Callipepla douglasii ssp","Callipepla douglasii","ssp","Callipepla","douglasii","Phasianidae","Galliformes"
"7449","Callipepla douglasii douglasii","Callipepla douglasii","douglasii","Callipepla","douglasii","Phasianidae","Galliformes"
"7450","Callipepla squamata castanogastra","Callipepla squamata","castanogastra","Callipepla","squamata","Phasianidae","Galliformes"
"7451","Callipepla squamata castanogastris","Callipepla squamata","castanogastris","Callipepla","squamata","Phasianidae","Galliformes"
"7452","Callipepla squamata pallida","Callipepla squamata","pallida","Callipepla","squamata","Phasianidae","Galliformes"
"7453","Callipepla squamata ssp","Callipepla squamata","ssp","Callipepla","squamata","Phasianidae","Galliformes"
"7454","Callipepla californica achrustera","Callipepla californica","achrustera","Callipepla","californica","Phasianidae","Galliformes"
"7455","Callipepla californica brunnescens","Callipepla californica","brunnescens","Callipepla","californica","Phasianidae","Galliformes"
"7456","Columbina talpacoti eluta","Columbina talpacoti","eluta","Columbina","talpacoti","Columbidae","Columbiformes"
"7457","Chloroceryle americana ssp","Chloroceryle americana","ssp","Chloroceryle","americana","Alcedinidae","Coraciiformes"
"7458","Ceyx lepidus solitarius","Ceyx lepidus","solitarius","Ceyx","lepidus","Alcedinidae","Coraciiformes"
"7459","Callipepla californica canfieldae","Callipepla californica","canfieldae","Callipepla","californica","Phasianidae","Galliformes"
"7460","Callipepla californica catalinensis","Callipepla californica","catalinensis","Callipepla","californica","Phasianidae","Galliformes"
"7461","Callipepla californica plumbea","Callipepla californica","plumbea","Callipepla","californica","Phasianidae","Galliformes"
"7462","Callipepla californica ssp","Callipepla californica","ssp","Callipepla","californica","Phasianidae","Galliformes"
"7463","Callipepla gambelii gambelii","Callipepla gambelii","gambelii","Callipepla","gambelii","Phasianidae","Galliformes"
"7464","Caloperdix oculea oculea","Caloperdix oculea","oculea","Caloperdix","oculea","Phasianidae","Galliformes"
"7465","Galloperdix spadicea ssp","Galloperdix spadicea","ssp","Galloperdix","spadicea","Phasianidae","Galliformes"
"7466","Coturnix sp ssp","Coturnix sp","ssp","Coturnix","sp","Phasianidae","Galliformes"
"7467","Coturnix coturnix africana","Coturnix coturnix","africana","Coturnix","coturnix","Phasianidae","Galliformes"
"7468","Coturnix coturnix coturnix","Coturnix coturnix","coturnix","Coturnix","coturnix","Phasianidae","Galliformes"
"7469","Coturnix delegorguei delegorguei","Coturnix delegorguei","delegorguei","Coturnix","delegorguei","Phasianidae","Galliformes"
"7470","Coturnix delegorguei ssp","Coturnix delegorguei","ssp","Coturnix","delegorguei","Phasianidae","Galliformes"
"7471","Crossoptilon crossoptilon ssp","Crossoptilon crossoptilon","ssp","Crossoptilon","crossoptilon","Phasianidae","Galliformes"
"7472","Cyrtonyx montezumae mearnsi","Cyrtonyx montezumae","mearnsi","Cyrtonyx","montezumae","Phasianidae","Galliformes"
"7473","Cyrtonyx montezumae ssp","Cyrtonyx montezumae","ssp","Cyrtonyx","montezumae","Phasianidae","Galliformes"
"7474","Cyrtonyx ocellatus ssp","Cyrtonyx ocellatus","ssp","Cyrtonyx","ocellatus","Phasianidae","Galliformes"
"7475","Dendragapus obscurus obscurus","Dendragapus obscurus","obscurus","Dendragapus","obscurus","Phasianidae","Galliformes"
"7476","Dendragapus obscurus ssp","Dendragapus obscurus","ssp","Dendragapus","obscurus","Phasianidae","Galliformes"
"7477","Dendragapus obscurus richardsoni","Dendragapus obscurus","richardsoni","Dendragapus","obscurus","Phasianidae","Galliformes"
"7478","Dendragapus obscurus howardi","Dendragapus obscurus","howardi","Dendragapus","obscurus","Phasianidae","Galliformes"
"7479","Dendragapus obscurus fuliginosus","Dendragapus obscurus","fuliginosus","Dendragapus","obscurus","Phasianidae","Galliformes"
"7480","Excalfactoria chinensis chinensis","Excalfactoria chinensis","chinensis","Excalfactoria","chinensis","Phasianidae","Galliformes"
"7481","Excalfactoria chinensis ssp","Excalfactoria chinensis","ssp","Excalfactoria","chinensis","Phasianidae","Galliformes"
"7482","Falcipennis canadensis canadensis","Falcipennis canadensis","canadensis","Falcipennis","canadensis","Phasianidae","Galliformes"
"7483","Falcipennis canadensis franklinii","Falcipennis canadensis","franklinii","Falcipennis","canadensis","Phasianidae","Galliformes"
"7484","Falcipennis canadensis osgoodi","Falcipennis canadensis","osgoodi","Falcipennis","canadensis","Phasianidae","Galliformes"
"7485","Francolinus afer humboldtii","Francolinus afer","humboldtii","Francolinus","afer","Phasianidae","Galliformes"
"7486","Francolinus afer lehmanni","Francolinus afer","lehmanni","Francolinus","afer","Phasianidae","Galliformes"
"7487","Francolinus afer leucoparaeus","Francolinus afer","leucoparaeus","Francolinus","afer","Phasianidae","Galliformes"
"7488","Francolinus bicalcaratus bicalcaratus","Francolinus bicalcaratus","bicalcaratus","Francolinus","bicalcaratus","Phasianidae","Galliformes"
"7489","Francolinus bicalcaratus ssp","Francolinus bicalcaratus","ssp","Francolinus","bicalcaratus","Phasianidae","Galliformes"
"7490","Francolinus clappertoni clappertoni","Francolinus clappertoni","clappertoni","Francolinus","clappertoni","Phasianidae","Galliformes"
"7491","Francolinus clappertoni heuglini","Francolinus clappertoni","heuglini","Francolinus","clappertoni","Phasianidae","Galliformes"
"7492","Francolinus coqui hubbardi","Francolinus coqui","hubbardi","Francolinus","coqui","Phasianidae","Galliformes"
"7493","Francolinus hartlaubi crypticus","Francolinus hartlaubi","crypticus","Francolinus","hartlaubi","Phasianidae","Galliformes"
"7494","Francolinus hildebrandti hildebrandti","Francolinus hildebrandti","hildebrandti","Francolinus","hildebrandti","Phasianidae","Galliformes"
"7495","Francolinus hildebrandti johnstoni","Francolinus hildebrandti","johnstoni","Francolinus","hildebrandti","Phasianidae","Galliformes"
"7496","Francolinus icterorhynchus dybowskii","Francolinus icterorhynchus","dybowskii","Francolinus","icterorhynchus","Phasianidae","Galliformes"
"7497","Francolinus jacksoni jacksoni","Francolinus jacksoni","jacksoni","Francolinus","jacksoni","Phasianidae","Galliformes"
"7498","Francolinus jacksoni pollenorum","Francolinus jacksoni","pollenorum","Francolinus","jacksoni","Phasianidae","Galliformes"
"7499","Francolinus lathami schubotzi","Francolinus lathami","schubotzi","Francolinus","lathami","Phasianidae","Galliformes"
"7500","Francolinus leucoscepus infuscatus","Francolinus leucoscepus","infuscatus","Francolinus","leucoscepus","Phasianidae","Galliformes"
"7501","Francolinus leucoscepus ssp","Francolinus leucoscepus","ssp","Francolinus","leucoscepus","Phasianidae","Galliformes"
"7502","Francolinus levaillantoides archeri","Francolinus levaillantoides","archeri","Francolinus","levaillantoides","Phasianidae","Galliformes"
"7503","Francolinus nobilis nobilis","Francolinus nobilis","nobilis","Francolinus","nobilis","Phasianidae","Galliformes"
"7504","Francolinus sephaena grantii","Francolinus sephaena","grantii","Francolinus","sephaena","Phasianidae","Galliformes"
"7505","Francolinus sephaena rovuma","Francolinus sephaena","rovuma","Francolinus","sephaena","Phasianidae","Galliformes"
"7506","Francolinus sephaena ssp","Francolinus sephaena","ssp","Francolinus","sephaena","Phasianidae","Galliformes"
"7507","Francolinus shelleyi uluensis","Francolinus shelleyi","uluensis","Francolinus","shelleyi","Phasianidae","Galliformes"
"7508","Francolinus squamatus schuetti","Francolinus squamatus","schuetti","Francolinus","squamatus","Phasianidae","Galliformes"
"7509","Francolinus squamatus squamatus","Francolinus squamatus","squamatus","Francolinus","squamatus","Phasianidae","Galliformes"
"7510","Francolinus erckelii ssp","Francolinus erckelii","ssp","Francolinus","erckelii","Phasianidae","Galliformes"
"7511","Francolinus francolinus asiae","Francolinus francolinus","asiae","Francolinus","francolinus","Phasianidae","Galliformes"
"7512","Francolinus francolinus ssp","Francolinus francolinus","ssp","Francolinus","francolinus","Phasianidae","Galliformes"
"7513","Francolinus pondicerianus interpositus","Francolinus pondicerianus","interpositus","Francolinus","pondicerianus","Phasianidae","Galliformes"
"7514","Francolinus pondicerianus ssp","Francolinus pondicerianus","ssp","Francolinus","pondicerianus","Phasianidae","Galliformes"
"7515","Francolinus pictus pictus","Francolinus pictus","pictus","Francolinus","pictus","Phasianidae","Galliformes"
"7516","Francolinus pintadeanus pintadeanus","Francolinus pintadeanus","pintadeanus","Francolinus","pintadeanus","Phasianidae","Galliformes"
"7517","Alectoris barbara barbara","Alectoris barbara","barbara","Alectoris","barbara","Phasianidae","Galliformes"
"7518","Alectoris barbara ssp","Alectoris barbara","ssp","Alectoris","barbara","Phasianidae","Galliformes"
"7519","Alectoris graeca ssp","Alectoris graeca","ssp","Alectoris","graeca","Phasianidae","Galliformes"
"7520","Meleagris gallopavo (domestic turkey)","Meleagris gallopavo","(domestic turkey)","Meleagris","gallopavo","Phasianidae","Galliformes"
"7521","Meleagris gallopavo intermedia","Meleagris gallopavo","intermedia","Meleagris","gallopavo","Phasianidae","Galliformes"
"7522","Milvago chimango ssp","Milvago chimango","ssp","Milvago","chimango","Falconidae","Falconiformes"
"7523","Meleagris gallopavo ssp","Meleagris gallopavo","ssp","Meleagris","gallopavo","Phasianidae","Galliformes"
"7524","Perdix perdix perdix","Perdix perdix","perdix","Perdix","perdix","Phasianidae","Galliformes"
"7525","Perdix perdix ssp","Perdix perdix","ssp","Perdix","perdix","Phasianidae","Galliformes"
"7526","Perdicula argoondah ssp","Perdicula argoondah","ssp","Perdicula","argoondah","Phasianidae","Galliformes"
"7527","Perdicula asiatica asiatica","Perdicula asiatica","asiatica","Perdicula","asiatica","Phasianidae","Galliformes"
"7528","Perdicula asiatica ssp","Perdicula asiatica","ssp","Perdicula","asiatica","Phasianidae","Galliformes"
"7529","Perdicula erythrorhyncha blewitti","Perdicula erythrorhyncha","blewitti","Perdicula","erythrorhyncha","Phasianidae","Galliformes"
"7530","Perdicula erythrorhyncha ssp","Perdicula erythrorhyncha","ssp","Perdicula","erythrorhyncha","Phasianidae","Galliformes"
"7531","Pavo cristatus ssp","Pavo cristatus","ssp","Pavo","cristatus","Phasianidae","Galliformes"
"7532","Oreortyx picta ssp","Oreortyx picta","ssp","Oreortyx","picta","Phasianidae","Galliformes"
"7533","Oreortyx picta palmeri","Oreortyx picta","palmeri","Oreortyx","picta","Phasianidae","Galliformes"
"7534","Oreortyx picta picta","Oreortyx picta","picta","Oreortyx","picta","Phasianidae","Galliformes"
"7535","Odontophorus atrifrons variegatus","Odontophorus atrifrons","variegatus","Odontophorus","atrifrons","Phasianidae","Galliformes"
"7536","Odontophorus capueira ssp","Odontophorus capueira","ssp","Odontophorus","capueira","Phasianidae","Galliformes"
"7537","Odontophorus capueira capueira","Odontophorus capueira","capueira","Odontophorus","capueira","Phasianidae","Galliformes"
"7538","Odontophorus gujanensis buckleyi","Odontophorus gujanensis","buckleyi","Odontophorus","gujanensis","Phasianidae","Galliformes"
"7539","Odontophorus gujanensis castigatus","Odontophorus gujanensis","castigatus","Odontophorus","gujanensis","Phasianidae","Galliformes"
"7540","Odontophorus gujanensis gujanensis","Odontophorus gujanensis","gujanensis","Odontophorus","gujanensis","Phasianidae","Galliformes"
"7541","Odontophorus gujanensis marmoratus","Odontophorus gujanensis","marmoratus","Odontophorus","gujanensis","Phasianidae","Galliformes"
"7542","Lagopus mutus rupestris","Lagopus mutus","rupestris","Lagopus","mutus","Phasianidae","Galliformes"
"7543","Lagopus lagopus alascensis","Lagopus lagopus","alascensis","Lagopus","lagopus","Phasianidae","Galliformes"
"7544","Lagopus lagopus alexandrae","Lagopus lagopus","alexandrae","Lagopus","lagopus","Phasianidae","Galliformes"
"7545","Lagopus lagopus ssp","Lagopus lagopus","ssp","Lagopus","lagopus","Phasianidae","Galliformes"
"7546","Lophura leucomelana lineata","Lophura leucomelana","lineata","Lophura","leucomelana","Phasianidae","Galliformes"
"7547","Florisuga mellivora NA","Florisuga mellivora",NA,"Florisuga","mellivora","Trochilidae","Apodiformes"
"7548","Lophura ignita rufa","Lophura ignita","rufa","Lophura","ignita","Phasianidae","Galliformes"
"7549","Lophura ignita ssp","Lophura ignita","ssp","Lophura","ignita","Phasianidae","Galliformes"
"7550","Lophura nycthemera ssp","Lophura nycthemera","ssp","Lophura","nycthemera","Phasianidae","Galliformes"
"7551","Tropicoperdix charltonii charltonii","Tropicoperdix charltonii","charltonii","Tropicoperdix","charltonii","Phasianidae","Galliformes"
"7552","Tropicoperdix chloropus cognacqi","Tropicoperdix chloropus","cognacqi","Tropicoperdix","chloropus","Phasianidae","Galliformes"
"7553","Phasianus sp ssp","Phasianus sp","ssp","Phasianus","sp","Phasianidae","Galliformes"
"7554","Phasianus colchicus colchicus","Phasianus colchicus","colchicus","Phasianus","colchicus","Phasianidae","Galliformes"
"7555","Phasianus colchicus robustipes","Phasianus colchicus","robustipes","Phasianus","colchicus","Phasianidae","Galliformes"
"7556","Phasianus colchicus torquatus","Phasianus colchicus","torquatus","Phasianus","colchicus","Phasianidae","Galliformes"
"7557","Numida meleagris damarensis","Numida meleagris","damarensis","Numida","meleagris","Phasianidae","Galliformes"
"7558","Numida meleagris galeata","Numida meleagris","galeata","Numida","meleagris","Phasianidae","Galliformes"
"7559","Numida meleagris macroceras","Numida meleagris","macroceras","Numida","meleagris","Phasianidae","Galliformes"
"7560","Numida meleagris major","Numida meleagris","major","Numida","meleagris","Phasianidae","Galliformes"
"7561","Numida meleagris mitrata","Numida meleagris","mitrata","Numida","meleagris","Phasianidae","Galliformes"
"7562","Numida meleagris reichenowi","Numida meleagris","reichenowi","Numida","meleagris","Phasianidae","Galliformes"
"7563","Numida meleagris somaliensis","Numida meleagris","somaliensis","Numida","meleagris","Phasianidae","Galliformes"
"7564","Numida meleagris ssp","Numida meleagris","ssp","Numida","meleagris","Phasianidae","Galliformes"
"7565","Polyplectron bicalcaratum ssp","Polyplectron bicalcaratum","ssp","Polyplectron","bicalcaratum","Phasianidae","Galliformes"
"7566","Ptilopachus petrosus brehmi","Ptilopachus petrosus","brehmi","Ptilopachus","petrosus","Phasianidae","Galliformes"
"7567","Ptilopachus petrosus florentiae","Ptilopachus petrosus","florentiae","Ptilopachus","petrosus","Phasianidae","Galliformes"
"7568","Ptilopachus petrosus petrosus","Ptilopachus petrosus","petrosus","Ptilopachus","petrosus","Phasianidae","Galliformes"
"7569","Ptilopachus petrosus ssp","Ptilopachus petrosus","ssp","Ptilopachus","petrosus","Phasianidae","Galliformes"
"7570","Rhynchortyx cinctus australis","Rhynchortyx cinctus","australis","Rhynchortyx","cinctus","Phasianidae","Galliformes"
"7571","Synoicus ypsilophorus australis","Synoicus ypsilophorus","australis","Synoicus","ypsilophorus","Phasianidae","Galliformes"
"7572","Tragopan temminckii ssp","Tragopan temminckii","ssp","Tragopan","temminckii","Phasianidae","Galliformes"
"7573","Gavia sp ssp","Gavia sp","ssp","Gavia","sp","Gaviidae","Gaviiformes"
"7574","Lophotis ruficrista ssp","Lophotis ruficrista","ssp","Lophotis","ruficrista","Otididae","Gruiformes"
"7575","Lophotis ruficrista gindiana","Lophotis ruficrista","gindiana","Lophotis","ruficrista","Otididae","Gruiformes"
"7576","Lissotis melanogaster melanogaster","Lissotis melanogaster","melanogaster","Lissotis","melanogaster","Otididae","Gruiformes"
"7577","Lissotis melanogaster ssp","Lissotis melanogaster","ssp","Lissotis","melanogaster","Otididae","Gruiformes"
"7578","Choriotis arabs stieberi","Choriotis arabs","stieberi","Choriotis","arabs","Otididae","Gruiformes"
"7579","Choriotis kori ssp","Choriotis kori","ssp","Choriotis","kori","Otididae","Gruiformes"
"7580","Choriotis kori struthiunculus","Choriotis kori","struthiunculus","Choriotis","kori","Otididae","Gruiformes"
"7581","Eupodotis senegalensis canicollis","Eupodotis senegalensis","canicollis","Eupodotis","senegalensis","Otididae","Gruiformes"
"7582","Eupodotis vigorsii fitzsimonsi","Eupodotis vigorsii","fitzsimonsi","Eupodotis","vigorsii","Otididae","Gruiformes"
"7583","Turnix pyrrhothorax ssp","Turnix pyrrhothorax","ssp","Turnix","pyrrhothorax","Turnicidae","Gruiformes"
"7584","Turnix sp ssp","Turnix sp","ssp","Turnix","sp","Turnicidae","Gruiformes"
"7585","Turnix suscitator blakistoni","Turnix suscitator","blakistoni","Turnix","suscitator","Turnicidae","Gruiformes"
"7586","Turnix sylvatica lepurana","Turnix sylvatica","lepurana","Turnix","sylvatica","Turnicidae","Gruiformes"
"7587","Turnix tanki tanki","Turnix tanki","tanki","Turnix","tanki","Turnicidae","Gruiformes"
"7588","Rallus philippensis ssp","Rallus philippensis","ssp","Rallus","philippensis","Rallidae","Gruiformes"
"7589","Rallus striatus gularis","Rallus striatus","gularis","Rallus","striatus","Rallidae","Gruiformes"
"7590","Caprimulgus cayennensis ssp","Caprimulgus cayennensis","ssp","Caprimulgus","cayennensis","Caprimulgidae","Caprimulgiformes"
"7591","Rallus longirostris waynei","Rallus longirostris","waynei","Rallus","longirostris","Rallidae","Gruiformes"
"7592","Rallus longirostris scottii","Rallus longirostris","scottii","Rallus","longirostris","Rallidae","Gruiformes"
"7593","Rallus longirostris levipes","Rallus longirostris","levipes","Rallus","longirostris","Rallidae","Gruiformes"
"7594","Rallus longirostris crassirostris","Rallus longirostris","crassirostris","Rallus","longirostris","Rallidae","Gruiformes"
"7595","Rallus longirostris beldingi","Rallus longirostris","beldingi","Rallus","longirostris","Rallidae","Gruiformes"
"7596","Rallus longirostris magdalenae","Rallus longirostris","magdalenae","Rallus","longirostris","Rallidae","Gruiformes"
"7597","Rallus elegans elegans","Rallus elegans","elegans","Rallus","elegans","Rallidae","Gruiformes"
"7598","Rallus elegans ssp","Rallus elegans","ssp","Rallus","elegans","Rallidae","Gruiformes"
"7599","Ortygonax nigricans caucae","Ortygonax nigricans","caucae","Ortygonax","nigricans","Rallidae","Gruiformes"
"7600","Ortygonax nigricans nigricans","Ortygonax nigricans","nigricans","Ortygonax","nigricans","Rallidae","Gruiformes"
"7601","Ortygonax sanguinolentus sanguinolentus","Ortygonax sanguinolentus","sanguinolentus","Ortygonax","sanguinolentus","Rallidae","Gruiformes"
"7602","Pardirallus maculatus maculatus","Pardirallus maculatus","maculatus","Pardirallus","maculatus","Rallidae","Gruiformes"
"7603","Porphyrio poliocephalus melanotus","Porphyrio poliocephalus","melanotus","Porphyrio","poliocephalus","Rallidae","Gruiformes"
"7604","Porphyrio poliocephalus viridis","Porphyrio poliocephalus","viridis","Porphyrio","poliocephalus","Rallidae","Gruiformes"
"7605","Porphyrio madagascariensis madagascariensis","Porphyrio madagascariensis","madagascariensis","Porphyrio","madagascariensis","Rallidae","Gruiformes"
"7606","Porphyrio porphyrio samoensis","Porphyrio porphyrio","samoensis","Porphyrio","porphyrio","Rallidae","Gruiformes"
