ORDER_MBF,FAMILY_MBF,Genus_MBF,Species_MBF,ORDER_HM,FAMILY_HM,Genus_HM,species_HM,subspecies_HM
Procellariiformes,Pelecanoididae,Pelecanoides,magellani,Procellariiformes,Procellariidae,Pelecanoides,magellani,
Procellariiformes,Pelecanoididae,Pelecanoides,georgicus,Procellariiformes,Procellariidae,Pelecanoides,georgicus,
Procellariiformes,Pelecanoididae,Pelecanoides,urinatrix,Procellariiformes,Procellariidae,Pelecanoides,urinatrix,
Pelecaniformes,Phaethontidae,Phaethon,aethereus,Phaethontiformes,Phaethontidae,Phaethon,aethereus,
Pelecaniformes,Phaethontidae,Phaethon,rubricauda,Phaethontiformes,Phaethontidae,Phaethon,rubricauda,
Pelecaniformes,Phaethontidae,Phaethon,lepturus,Phaethontiformes,Phaethontidae,Phaethon,lepturus,
Pelecaniformes,Pelecanidae,Pelecanus,onocrotalus,Pelecaniformes,Pelecanidae,Pelecanus,onocrotalus,
Pelecaniformes,Pelecanidae,Pelecanus,roseus,Pelecaniformes,Pelecanidae,Pelecanus,onocrotalus,
Pelecaniformes,Pelecanidae,Pelecanus,rufescens,Pelecaniformes,Pelecanidae,Pelecanus,rufescens,
Pelecaniformes,Pelecanidae,Pelecanus,philippensis,Pelecaniformes,Pelecanidae,Pelecanus,philippensis,
Pelecaniformes,Pelecanidae,Pelecanus,crispus,Pelecaniformes,Pelecanidae,Pelecanus,crispus,
Pelecaniformes,Pelecanidae,Pelecanus,conspicillatus,Pelecaniformes,Pelecanidae,Pelecanus,conspicillatus,
Pelecaniformes,Pelecanidae,Pelecanus,erythrorhynchos,Pelecaniformes,Pelecanidae,Pelecanus,erythrorhynchos,
